tool		drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo
run set		NOTEnov14new-TL0-TPfalse-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL0-TPfalse-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL0-TPfalse-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL0-TPfalse-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL1-TPtrue-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL1-TPtrue-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL1-TPtrue-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL1-TPtrue-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL1-TPfalse-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL1-TPfalse-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL1-TPfalse-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL1-TPfalse-THtrue-DMls-TRdirect.effects	NOTEnov14new-TL0-TPfalse-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL0-TPfalse-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL0-TPfalse-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL0-TPfalse-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL1-TPtrue-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL1-TPtrue-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL1-TPtrue-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL1-TPtrue-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL1-TPfalse-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL1-TPfalse-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL1-TPfalse-THtrue-DMls-TRtrans.effects	NOTEnov14new-TL1-TPfalse-THtrue-DMls-TRtrans.effects
../../tests/effects/new/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
concurrent_sum.yml	concurrent_sum.yml	unknown	0.287494767	0.2890272999648005	10.174464	unknown	1.325006413	1.3270560498349369	13.910016	true	0.480315425	0.4818460058886558	12.214272	unknown	2.911977659	2.913696960080415	28.360704	true	28.243033314	28.247154782991856	28.921856	true	6.236550753	6.2385026689153165	18.411520
num_evens.yml	num_evens.yml	unknown	1.491790402	1.4930524020455778	16.171008	true	5.16062668	5.162325166165829	17.457152	true	2.613938616	2.6151705749798566	18.292736	TIMEOUT	31.007360225	31.009412358980626	91.299840	TIMEOUT	30.030272209	30.035437448183075	41.230336	TIMEOUT	31.016082399	31.018594370922074	42.078208
