tool	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo	drift 0.0.todo
disj.ml	unknown	7.348008	7.798863942967728	unknown	36.478788	38.033153041033074	unknown	102.992197	103.48433077498339	true	136.748604	137.71815174701624	unknown	11.095843	11.09955888101831	unknown	62.721253	63.732392848003656
higher-order.ml	true	1.959134	4.6576935990015045	unknown	9.651752	9.91192608489655	true	9.687923	13.457401541993022	true	23.365612	23.37536262301728	true	4.799729	7.056118016014807	unknown	20.712057	22.814299701014534
intro-ord3.ml	unknown	8.201135	9.789156374987215	unknown	70.421213	70.97760140395258	true	32.441153	33.315169509034604	true	180.558964	182.79908663604874	true	24.940276	26.256590357981622	true	153.044344	156.13906431302894
last-ev-even.ml	unknown	1.7356	3.3172956289490685	unknown	7.625468	8.88417368894443	unknown	12.226715	13.079085133969784	true	39.97827	41.93318344093859	unknown	5.925946	8.166033433983102	unknown	18.000326	20.059771217987873
lics18-amortized.ml	TIMEOUT	900.413504	901.0270490329713	unknown	276.085444	276.65437469200697	unknown	588.834701	588.9343209019862	TIMEOUT	901.016338	902.6955745309824	unknown	288.307671	290.24833636695985	TIMEOUT	901.012206	902.2183322549099
lics18-hoshrink.ml	unknown	1.345059	2.0435753740603104	unknown	10.08478	11.362179528921843	unknown	3.32912	3.908839095965959	unknown	20.278408	20.28225707798265	unknown	2.385085	2.3889292660169303	unknown	19.821406	20.487061640946195
lics18-web.ml	unknown	53.248299	53.262462895945646	unknown	91.433004	92.00492479407694	TIMEOUT	900.866945	901.0178524049697	TIMEOUT	901.026854	903.883961583022	unknown	189.874969	190.50986602704506	unknown	241.082324	242.8019809749676
market.ml	unknown	32.910564	33.598175218096	unknown	128.553577	128.8169663270237	unknown	641.215199	644.7136354579125	TIMEOUT	900.902714	901.0103489320027	unknown	276.898498	278.56264202995226	TIMEOUT	901.012634	903.2864166119834
max-min.ml	unknown	9.5243	9.535137103055604	unknown	33.802421	34.54785277904011	unknown	235.318566	235.89857789909001	TIMEOUT	901.009283	902.6505792969838	unknown	24.53634	27.09243823599536	unknown	143.870363	145.57391944900155
monotonic.ml	true	2.260944	2.478727032081224	true	5.330366	5.593132163980044	true	5.856558	6.141680488013662	true	28.820638	30.76285633002408	true	3.417703	5.983982418081723	unknown	19.445165	21.51497385406401
nondet_max.ml	true	2.29107	2.73470960999839	unknown	6.585506	6.587503281072713	true	5.878282	6.442540513002314	true	17.838068	18.791109665995464	true	5.275748	5.907920954050496	true	17.437171	20.8534433550667
order-irrel-nondet.ml	unknown	2.542749	2.570709399995394	unknown	12.220552	12.500513270962983	unknown	14.11861	14.399248598958366	unknown	67.214706	67.85979846201371	unknown	6.478379	9.030672127031721	unknown	25.908775	25.912383588962257
order-irrel.ml	unknown	1.803689	3.4095479249954224	unknown	9.915349	9.924370327964425	unknown	15.94574	16.490821316023357	unknown	36.192765	36.204406708013266	unknown	2.944183	2.953463196987286	unknown	13.86687	15.551938407006674
overview1.ml	unknown	0.980536	1.669914562953636	unknown	4.201661	4.9649332540575415	true	2.487252	3.34390296402853	true	5.900974	5.917009660974145	true	1.968105	2.9190170030342415	true	5.094244	6.4512822510441765
reentr.ml	true	3.604549	4.953875261009671	true	6.655886	7.218212542939	true	8.723598	9.281059521948919	true	19.156063	21.439457231084816	true	6.877442	6.895375543972477	true	15.401166	15.731672622961923
resource-analysis.ml	true	2.867894	4.248247346025892	unknown	5.395441	6.662160046049394	true	3.993055	4.8380962159717456	true	11.286919	12.5506669949973	true	3.724282	4.68697554199025	true	10.886454	10.895460042986088
sum-appendix.ml	true	1.170931	1.1722564580850303	true	4.431463	5.005023252917454	true	1.35171	1.3556615749839693	true	6.034609	6.363549371948466	true	1.614792	2.9218463889556006	true	6.035063	7.055016619968228
sum-of-ev-even.ml	unknown	0.572622	1.267796127940528	true	1.984284	2.7422391909640282	unknown	1.502145	2.3643371590878814	true	5.639386	7.568204571958631	unknown	1.454422	1.7672774200327694	true	5.39071	7.438167736050673
temperature.ml	unknown	13.455234	14.373331512906589	unknown	40.440249	42.89782064803876	unknown	134.538393	135.0922094739508	true	322.095207	322.4473044159822	unknown	15.866449	17.800478884018958	true	64.109375	68.14980923500843
