subdir,file name,test class,timing (seconds),res (true/false)
termination,indirect02,Pos,0.05,ER
termination,CE-0CFA01,Pos,0.05,ER
termination,toChurch03,Pos,0.05,ER
termination,Ackermann02,Pos,0.86,T
termination,zip01,Pos,1.3,T
termination,append00,Pos,0.4,T
termination,indirect00,Pos,0.05,ER
termination,alias_partial02,Pos,0.41,T
termination,x_plus_2_pow_n00,Pos,0.05,ER
termination,Fibonacci02,Pos,0.29,T
termination,x_plus_2_pow_n04,Pos,0.06,ER
termination,binomial01,Pos,0.85,T
termination,up_down03,Pos,0.05,ER
termination,x_plus_2_pow_n03,Pos,0.05,ER
termination,up_down01,Pos,0.06,ER
termination,alias_partial01,Pos,0.37,T
termination,churchNum01,Pos,0.05,ER
termination,CE-0CFA02,Pos,0.05,ER
termination,Fibonacci03,Pos,0.27,T
termination,Ackermann04,Pos,1.14,T
termination,McCarthy9101,Pos,0.25,T
termination,toChurch00,Pos,0.05,ER
termination,indirectHO02,Pos,0.05,ER
termination,up_down00,Pos,0.05,ER
termination,CE-1CFA00,Pos,0.05,ER
termination,up_down05,Pos,0.05,ER
termination,CE-Jones_Bohr03,Pos,0.06,ER
termination,CE-1CFA04,Pos,0.05,ER
termination,CE-0CFA04,Pos,0.05,ER
termination,indirectHO01,Pos,0.05,ER
termination,McCarthy9100,Pos,0.21,T
termination,alias_partial03,Pos,0.42,T
termination,indirectHO00,Pos,0.05,ER
termination,Ackermann05,Pos,1.16,T
termination,CE-0CFA03,Pos,0.05,ER
termination,zip00,Pos,1.15,T
termination,churchNum02,Pos,0.05,ER
termination,CE-1CFA07,Pos,0.05,ER
termination,Ackermann00,Pos,1.7,T
termination,toChurch02,Pos,0.05,ER
termination,indirect03,Pos,0.05,ER
termination,CE-1CFA05,Pos,0.05,ER
termination,binomial04,Pos,1.16,T
termination,Ackermann06,Pos,1.12,T
termination,McCarthy9103,Pos,0.31,T
termination,append01,Pos,0.72,T
termination,indirect01,Pos,0.05,ER
termination,up_down02,Pos,0.05,ER
termination,CE-Jones_Bohr01,Pos,0.05,ER
termination,CE-Jones_Bohr00,Pos,0.05,ER
termination,up_down07,Pos,0.05,ER
termination,Fibonacci01,Pos,0.22,T
negative,repeat,Neg,0.09,T
negative,zip_unzip,Neg,0.21,T
negative,ex23,Neg,0.31,T
negative,xyz,Neg,0.34,T
negative,binomial00,Neg,1.1,T
negative,compose,Neg,0.1,T
negative,ack01false,Neg,0.17,T
negative,xy10,Neg,0.16,T
negative,xy4,Neg,0.17,T
negative,inductive1-1,Neg,0.15,T
negative,up_down01,Neg,1.21,ER
negative,xyz2,Neg,0.3,T
negative,indirectHO01,Neg,2.27,T
negative,zip00,Neg,1.12,T
negative,01_ic3,Neg,0.41,T
negative,CE-Jones_Bohr04,Neg,0.06,ER
negative,x_plus_2_pow_n01,Neg,0.05,ER
list,simple,Pos,0.25,F
list,fold_left,Pos,0.22,T
list,nth,Pos,0.21,F
list,fold_fun_list,Pos,0.27,T
list,zipunzip,Pos,0.57,T
list,length,Pos,0.16,F
list,risers,Pos,0.91,T
list,forall_leq,Pos,0.19,T
list,isnil,Pos,0.14,F
list,mem,Pos,0.26,F
list,fold_div,Pos,0.26,F
list,mapfilter,Pos,0.51,F
list,iter,Pos,0.15,T
list,fold_right,Pos,0.23,T
list,list_rec,Pos,0.23,F
list,list,Pos,0.21,F
list,sieve,Pos,0.55,F
list,reverse,Pos,0.27,F
list,introlist,Pos,0.13,T
list,zip,Pos,0.38,F
