subdir,file name,test class,timing (milseconds),res (true/false)
termination,CE-0CFA01,Pos,0.04,T
termination,toChurch03,Pos,0.17,T
termination,Ackermann02,Pos,0.09,T
termination,zip01,Pos,0.04,T
termination,append00,Pos,0.03,T
termination,indirect00,Pos,0.03,T
termination,alias_partial02,Pos,0.03,T
termination,x_plus_2_pow_n00,Pos,0.05,T
termination,Fibonacci02,Pos,0.03,T
termination,x_plus_2_pow_n04,Pos,0.05,T
termination,binomial01,Pos,0.05,T
termination,up_down03,Pos,0.03,T
termination,x_plus_2_pow_n03,Pos,0.04,T
termination,up_down01,Pos,0.04,T
termination,alias_partial01,Pos,0.02,T
termination,churchNum01,Pos,0.23,T
termination,CE-0CFA02,Pos,0.04,T
termination,Fibonacci03,Pos,0.03,T
termination,Ackermann04,Pos,0.12,T
termination,McCarthy9101,Pos,0.02,T
termination,toChurch00,Pos,0.54,T
termination,indirectHO02,Pos,0.04,T
termination,up_down00,Pos,0.03,T
termination,CE-1CFA00,Pos,0.08,T
termination,up_down05,Pos,0.03,F
termination,CE-Jones_Bohr03,Pos,0.08,T
termination,CE-1CFA04,Pos,1.05,F
termination,CE-0CFA04,Pos,0.36,T
termination,indirectHO01,Pos,0.09,T
termination,McCarthy9100,Pos,0.02,T
termination,alias_partial03,Pos,0.03,T
termination,indirectHO00,Pos,0.03,T
termination,Ackermann05,Pos,0.11,T
termination,CE-0CFA03,Pos,0.04,F
termination,zip00,Pos,0.03,T
termination,churchNum02,Pos,2.04,T
termination,CE-1CFA07,Pos,0.23,F
termination,Ackermann00,Pos,0.03,T
termination,toChurch02,Pos,0.07,T
termination,indirect03,Pos,0.05,T
termination,CE-1CFA05,Pos,1.04,T
termination,binomial04,Pos,0.1,T
termination,Ackermann06,Pos,0.11,T
termination,McCarthy9103,Pos,0.05,T
termination,append01,Pos,0.04,T
termination,indirect01,Pos,0.22,T
termination,up_down02,Pos,0.04,F
termination,CE-Jones_Bohr01,Pos,1.31,T
termination,CE-Jones_Bohr00,Pos,0.24,T
termination,up_down07,Pos,0.06,T
termination,Fibonacci01,Pos,0.02,T
negative,repeat,Neg,0.02,T
negative,zip_unzip,Neg,0.06,T
negative,ex23,Neg,0.02,T
negative,xyz,Neg,0.17,T
negative,binomial00,Neg,0.03,T
negative,compose,Neg,0.01,T
negative,ack01false,Neg,0.01,T
negative,xy10,Neg,0.05,T
negative,xy4,Neg,0.05,T
negative,inductive1-1,Neg,0.01,T
negative,up_down01,Neg,0.02,T
negative,xyz2,Neg,0.17,T
negative,indirectHO01,Neg,0.04,T
negative,x_plus_2_pow_n01,Neg,0.14,T
negative,zip00,Neg,0.02,T
negative,CE-Jones_Bohr04,Neg,0.38,T
negative,01_ic3,Neg,0.01,T
list,simple,Pos,0.01,ER
list,fold_left,Pos,0.01,ER
list,nth,Pos,0.01,ER
list,fold_fun_list,Pos,0.01,ER
list,zipunzip,Pos,0.01,ER
list,length,Pos,0.01,ER
list,risers,Pos,0.01,ER
list,forall_leq,Pos,0.01,ER
list,isnil,Pos,0.01,ER
list,mem,Pos,0.01,ER
list,fold_div,Pos,0.01,ER
list,mapfilter,Pos,0.01,ER
list,iter,Pos,0.01,ER
list,fold_right,Pos,0.01,ER
list,list_rec,Pos,0.01,ER
list,list,Pos,0.01,ER
list,sieve,Pos,0.01,ER
list,reverse,Pos,0.01,ER
list,introlist,Pos,0.01,ER
list,zip,Pos,0.01,ER
