subdir,file name,test class,timing (milseconds),res (true/false)
termination,CE-1CFA01,Pos,0.05,ER
termination,alias_partial00,Pos,0.01,ER
termination,Fibonacci00,Pos,0.01,ER
termination,CE-0CFA00,Pos,0.03,ER
termination,McCarthy9102,Pos,0.01,ER
termination,CE-1CFA02,Pos,0.05,ER
termination,toChurch04,Pos,0.24,ER
termination,indirect02,Pos,0.02,ER
termination,CE-0CFA01,Pos,0.03,ER
termination,toChurch03,Pos,0.14,ER
termination,Ackermann02,Pos,0.04,ER
termination,zip01,Pos,0.02,ER
termination,append00,Pos,0.02,ER
termination,indirect00,Pos,0.02,ER
termination,alias_partial02,Pos,0.02,ER
termination,x_plus_2_pow_n00,Pos,0.02,ER
termination,Fibonacci02,Pos,0.01,ER
termination,x_plus_2_pow_n04,Pos,0.03,ER
termination,binomial01,Pos,0.03,ER
termination,up_down03,Pos,0.02,ER
termination,x_plus_2_pow_n03,Pos,0.02,ER
termination,up_down01,Pos,0.02,ER
termination,alias_partial01,Pos,0.02,ER
termination,churchNum01,Pos,0.17,ER
termination,CE-0CFA02,Pos,0.03,ER
termination,Fibonacci03,Pos,0.01,ER
termination,Ackermann04,Pos,0.06,ER
termination,McCarthy9101,Pos,0.01,ER
termination,toChurch00,Pos,0.47,ER
termination,indirectHO02,Pos,0.03,ER
termination,up_down00,Pos,0.02,ER
termination,CE-1CFA00,Pos,0.05,ER
termination,up_down05,Pos,0.02,ER
termination,CE-Jones_Bohr03,Pos,0.06,ER
termination,CE-1CFA04,Pos,0.94,ER
termination,CE-0CFA04,Pos,0.3,ER
termination,indirectHO01,Pos,0.06,ER
termination,McCarthy9100,Pos,0.01,ER
termination,alias_partial03,Pos,0.02,ER
termination,indirectHO00,Pos,0.02,ER
termination,Ackermann05,Pos,0.07,ER
termination,CE-0CFA03,Pos,0.03,ER
termination,zip00,Pos,0.02,ER
termination,churchNum02,Pos,1.91,ER
termination,CE-1CFA07,Pos,0.19,ER
termination,Ackermann00,Pos,0.02,ER
termination,toChurch02,Pos,0.05,ER
termination,indirect03,Pos,0.03,ER
termination,CE-1CFA05,Pos,0.94,ER
termination,binomial04,Pos,0.06,ER
termination,Ackermann06,Pos,0.06,ER
termination,McCarthy9103,Pos,0.01,ER
termination,append01,Pos,0.03,ER
termination,indirect01,Pos,0.18,ER
termination,up_down02,Pos,0.02,ER
termination,CE-Jones_Bohr01,Pos,1.21,ER
termination,CE-Jones_Bohr00,Pos,0.21,ER
termination,up_down07,Pos,0.04,ER
termination,Fibonacci01,Pos,0.01,ER
negative,repeat,Neg,0.01,ER
negative,zip_unzip,Neg,0.01,ER
