subdir,file name,test class,timing (milseconds),res (true/false)
termination,toChurch03,Pos,0.13,T
termination,Ackermann02,Pos,8.96,T
termination,zip01,Pos,0.08,T
termination,append00,Pos,0.08,T
termination,indirect00,Pos,0.49,T
termination,alias_partial02,Pos,0.08,T
termination,x_plus_2_pow_n00,Pos,0.82,T
termination,Fibonacci02,Pos,0.1,T
termination,x_plus_2_pow_n04,Pos,0.58,T
termination,binomial01,Pos,0.1,T
termination,up_down03,Pos,0.12,T
termination,x_plus_2_pow_n03,Pos,0.1,T
termination,up_down01,Pos,0.12,T
termination,alias_partial01,Pos,0.07,T
termination,churchNum01,Pos,0.11,T
termination,CE-0CFA02,Pos,0.08,T
termination,Fibonacci03,Pos,0.1,T
termination,Ackermann04,Pos,9.1,T
termination,McCarthy9101,Pos,0.07,T
termination,toChurch00,Pos,0.19,T
termination,indirectHO02,Pos,0.1,T
termination,up_down00,Pos,0.12,T
termination,CE-1CFA00,Pos,0.09,T
termination,up_down05,Pos,1.44,T
termination,CE-Jones_Bohr03,Pos,0.08,T
termination,CE-1CFA04,Pos,0.14,T
termination,CE-0CFA04,Pos,0.12,T
termination,indirectHO01,Pos,0.6,T
termination,McCarthy9100,Pos,0.07,T
termination,alias_partial03,Pos,0.1,T
termination,indirectHO00,Pos,0.51,T
termination,x_plus_2_pow_n01,Pos,0.92,F
termination,Ackermann05,Pos,2.77,T
termination,CE-0CFA03,Pos,0.09,T
termination,zip00,Pos,0.08,T
termination,churchNum02,Pos,0.21,T
termination,CE-1CFA07,Pos,0.11,T
termination,Ackermann00,Pos,0.1,T
termination,toChurch02,Pos,0.15,T
termination,indirect03,Pos,0.53,T
termination,CE-Jones_Bohr04,Pos,0.26,F
termination,CE-1CFA05,Pos,0.15,T
termination,binomial04,Pos,0.15,T
termination,Ackermann06,Pos,1.92,T
termination,McCarthy9103,Pos,1.19,T
termination,append01,Pos,0.08,T
termination,indirect01,Pos,1.83,T
termination,up_down02,Pos,1.46,T
termination,CE-Jones_Bohr01,Pos,0.2,T
termination,CE-Jones_Bohr00,Pos,0.1,T
termination,up_down07,Pos,0.11,T
termination,Fibonacci01,Pos,0.07,T
negative,repeat,Neg,0.54,T
negative,zip_unzip,Neg,4.93,T
negative,ex23,Neg,0.91,T
negative,xyz,Neg,timeout,F
negative,binomial00,Neg,0.27,T
negative,compose,Neg,0.17,T
negative,ack01false,Neg,0.26,T
negative,xy10,Neg,timeout,F
negative,xy4,Neg,86.79,T
negative,inductive1-1,Neg,0.23,T
negative,up_down01,Neg,0.2,T
negative,xyz2,Neg,timeout,F
negative,indirectHO01,Neg,0.25,T
negative,zip00,Neg,0.21,T
negative,01_ic3,Neg,0.32,T
list,simple,Pos,timeout,F
list,fold_left,Pos,4.68,T
list,nth,Pos,17.29,T
list,fold_fun_list,Pos,36.52,T
list,zipunzip,Pos,10.22,T
list,length,Pos,1.72,T
list,risers,Pos,20.88,T
list,forall_leq,Pos,21.18,T
list,isnil,Pos,1.27,T
list,mem,Pos,19.87,T
list,fold_div,Pos,timeout,F
list,mapfilter,Pos,133.38,T
list,iter,Pos,7.12,T
list,fold_right,Pos,4.75,T
list,list_rec,Pos,3.92,T
list,list,Pos,6.86,T
list,sieve,Pos,timeout,F
list,reverse,Pos,32.24,T
list,introlist,Pos,1.45,T
list,zip,Pos,135.19,T
